CONSTI_NAME,CountiCode,SurName,OtherNames,COUNTY_NAME,
Baringo Central,30,Kandie,Joshua Chepyegon,Baringo,
Baringo South,30,Charles,Kamuren,Baringo,
Baringo North,30,Kipkiror,William Cheptumo,Baringo,
Eldama Ravine,30,Lessonet,Moses K.,Baringo,
Mogotio,30,Tuitoek,Daniel Kamuren,Baringo,
Tiaty,30,Kamket,Kassait William,Baringo,
Bumula,39,Mabonga,Moses Wekesa Mwambu,BUNGOMA,
Kabuchai,39,Mukwe,James Lusweti,BUNGOMA,
Kanduyi,39,Wamunyinyi,Athanas Misiko Wafula,BUNGOMA,
Kimilili,39,Mutua,Didmus Wekesa Barasa,BUNGOMA,
Mt. Elgon,39,Chesebe,Fred Kapondi,BUNGOMA,
Sirisia,39,Koyi,John Waluke,BUNGOMA,
Tongaren,39,Simiyu,David Eseli,BUNGOMA,
Webuye West,39,Sitati,Daniel Wanyama,BUNGOMA,
Webuye East,39,Sambu,Bernard Alfred Wekesa,BUNGOMA,
Bomet Central,36,Tonui,Ronald Kiprotich,BOMET,
Bomet East,36,Kones,Beatrice Pauline Cherono,BOMET,
Chepalungu,36,Koske,Gideon Kimutai,BOMET,
Sotik,36,Koskei,Dominic Kipkoech,BOMET,
Konoin,36,Leonard,Yegon Brighton,BOMET,
Nambale,40,Bunyasi,Sakwa John,BUSIA,
Butula,40,Oyula,Joseph H. Maero,BUSIA,
Funyula,40,Oundo,Dr. Wilberforce Ojiambo,BUSIA,
Budalangi,40,Wanjala,Raphael Bitta Sauti,BUSIA,
Matayos,40,Odanga,Geoffrey Makokha,BUSIA,
Teso North,40,Kaunya,Edward Oku,BUSIA,
Teso South,40,Omuse,Geoffrey,BUSIA,
Keiyo North,28,"Murgor, James Kipkosgei",ELGEYO MARAKWET,
Keiyo South,28,"Rono, Daniel Kipkogei",ELGEYO MARAKWET,
Marakwet West,28,"Kisang, William Kipkemoi",ELGEYO MARAKWET,
Marakwet East,28,"Bowen, David Kangogo",ELGEYO MARAKWET,
Runyenjes,14,"Njiru, Eric Muchangi",EMBU,
Manyatta,14,"Nyaga, John Muchiri",EMBU,
Mbeere North,14,"Njagagua, Charles Muriuki",EMBU,
Mbeere South,14,"Muturi, Geoffrey Kingagi",EMBU,
Fafi,7,Abdikarim Osman Mohamed,GARISSA,
Garissa town,7,"Duale, Aden Bare",GARISSA,
Ijara,7,"Noor, Sophia Abdi",GARISSA,
